Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0371300147321000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0371300147321000003;Подача заявок;Содержание мостов и путепроводов городского округа город РыбинскЯрославскойобласти: деформационные швы на мосту через р. Волга;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ГОРОД РЫБИНСК ""УПРАВЛЕНИЕ ГОРОДСКОГО ХОЗЯЙСТВА""";10.02.2021;313 944,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000012;Подача заявок;"Выполнение работ по содержанию (устройство слоев износа) наавтомобильнойдорогеМ-8 ""Холмогоры"" Москва -Ярославль- Вологда -Архангельск на участке км 155+000 - км 160+900,Ярославскаяобласть";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";10.02.2021;118 000 000,00 ₽;;;;;;;;;;;;;;
№ 0128200000121000518;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128200000121000518;Подача заявок;Ремонт автомобильнойдорогиобщего пользования местного значения  Александровского  района Владимирской области в 2021 году (ул.Центральная (от дома №60 до пересечения с а/д «Москва-Ярославль» - Рупусово, от автобусной остановки до дома №82/2) пос.Красное Пламя);ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ;10.02.2021;3 502 281,85 ₽;;;;;;;;;;;;;;
№ 0371300027821000020;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0371300027821000020;Подача заявок;Проведение кадастровых работ в отношении земельных участков занятых автомобильнымидорогами;ДЕПАРТАМЕНТ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ ГОРОДА МЭРИИ ГОРОДАЯРОСЛАВЛЯ;09.02.2021;248 000,00 ₽;;;;;;;;;;;;;;
№ 0120600002721000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0120600002721000001;Подача заявок;Выполнение работ по ремонту участков муниципальныхдорогобщего пользования местного значения с асфальтобетонным и грунтовым покрытием по ул. Волочаевская, ул. Кипарисова с. Хороль, ул. Рабочая с. Лучки, ул. Куйбышева пгт.Ярославский;АДМИНИСТРАЦИЯ ХОРОЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;08.02.2021;10 397 884,80 ₽;;;;;;;;;;;;;;
№ 0173200001421000093;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0173200001421000093;Подача заявок;Выполнение подрядных работ по строительству объекта капитального строительства: «Строительство участков улично-дорожной сети для ТПУ «Ярославская». Этап 2».;ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;08.02.2021;213 948 137,84 ₽;;;;;;;;;;;;;;
№ 0137300017521000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0137300017521000006;Подача заявок;Выполнение работ по ремонту автомобильнойдороги«Кудиново – Юрьевское» км 6+000 - км 11+805 (Реестровый номер: 113Э-10/21сб).;"МАЛОЯРОСЛАВЕЦКАЯРАЙОННАЯ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""МАЛОЯРОСЛАВЕЦКИЙРАЙОН""";05.02.2021;91 511 707,00 ₽;;;;;;;;;;;;;;
№ 32109965379;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109965379;Подача заявок;Выполнение субподрядных работ по ремонту (восстановлению после ДТП) линий освещения на автомобильныхдорогахгосударственной собственностиЯрославскойобласти;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЯРДОРМОСТ""";05.02.2021;2 761 115,56 ₽;;;;;;;;;;;;;;
№ 0330100010521000010;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000010;Подача заявок;"Выполнение работ по содержанию (устройство слоев износа) наавтомобильнойдорогеМ-8 ""Холмогоры"" Москва -Ярославль- Вологда -Архангельск на участке км 737+000 - км 755+000, Архангельская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";05.02.2021;165 000 000,00 ₽;;;;;;;;;;;;;;
№ 0171200001921000024;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0171200001921000024;Подача заявок;Установка знаков переменной информации для информирования водителей транспортных средств на автоматических пунктах весового и габаритного контроля (АПВГК) на участках автомобильныхдорогобщего пользования регионального значенияЯрославскойобласти;ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗАЯРОСЛАВСКОЙОБЛАСТИ;05.02.2021;3 275 000,00 ₽;;;;;;;;;;;;;;
