Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0155300031119000090;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0155300031119000090;Определение поставщика завершено;Зимнее содержание автомобильныхдорогобщего пользования местного значения в границах населенного пункта р.п. Беково Бековского районаПензенскойобласти;АДМИНИСТРАЦИЯ БЕКОВСКОГО РАЙОНАПЕНЗЕНСКОЙОБЛАСТИ;30.12.2019;1 300 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0155300031119000090;АДМИНИСТРАЦИЯ РАБОЧЕГО ПОСЕЛКА БЕКОВО БЕКОВСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РАБОЧЕГО ПОСЕЛКА БЕКОВО ПЕНЗЕНСКОЙ ОБЛАСТИ ""БЕКОВО""";;1 300 000,00;;;;;;
№ 0355300030919000060;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0355300030919000060;Определение поставщика завершено;Содержаниедорогобщего пользования населенного пункта рабочего поселка ЗеметчиноПензенскойобласти в 2020 г.;АДМИНИСТРАЦИЯ ЗЕМЕТЧИНСКОГО РАЙОНАПЕНЗЕНСКОЙОБЛАСТИ;30.12.2019;1 475 403,61 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0355300030919000060;АДМИНИСТРАЦИЯ РАБОЧЕГО ПОСЕЛКА ЗЕМЕТЧИНО ЗЕМЕТЧИНСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕМЕТЧИНОАВТОДОР""";;1 475 403,61;;;;;;
№ 0369100028419000095;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0369100028419000095;Определение поставщика завершено;"Выполнение работ по разработке рабочей документации по объекту ""Строительство и реконструкция автомобильнойдорогиМ-5 ""Урал"" - от Москвы, через Рязань,Пензу, Самару, Уфу до Челябинска. Реконструкция  автомобильнойдорогиМ-5 ""Урал""- от Москвы через Рязань,Пензу, Самару, Уфу до Челябинска на участке км 1548+651 - км 1564+000 Челябинская область""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ЮЖНЫЙ УРАЛ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.12.2019;106 372 900,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0369100028419000095;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""ЮЖНЫЙ УРАЛ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ДОРПРОЕКТ""";1 - Победитель;105 350 000,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОСИНСТАЛПРОЕКТ""";2 - Второй номер;106 372 900,00;;;;;;
№ 0355300034019000079;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0355300034019000079;Определение поставщика завершено;Восстановление элементов обустройства автомобильныхдорогулично-дорожной сети г.Пензы;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА ГОРОДАПЕНЗЫ""";30.12.2019;884 854,03 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0355300034019000079;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА ГОРОДА ПЕНЗЫ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАФ ПЛЮС""";1 - Победитель;870 000,00;Глухов андрей олегович -.;2 - Второй номер;880 429,75;;;;;;
№ 0364100001819000126;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001819000126;Определение поставщика завершено;"Разработка проектной документации: ""Капитальный ремонт автомобильнойдорогиР-208 Тамбов –Пензасеверный обход г. Тамбова на участке км 9+500 – км 19+500, Тамбовская область""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.12.2019;12 990 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0364100001819000126;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР - ДОРСЕРВИС""";1 - Победитель;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СЕВЕРО-ВОСТОЧНАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ТЕХСТРОЙ""";2 - Второй номер;11 990 000,00;;;;;;
№ 0364100001819000127;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001819000127;Определение поставщика завершено;"Разработка проектной документации: ""Капитальный ремонт моста через овраг на км 2+360 автомобильнойдорогиА-298 автомобильнаядорогаР-208 «Тамбов –Пенза» - Саратов – Пристанное – Ершов – Озинки – граница с Республикой Казахстан, Тамбовская область""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.12.2019;2 045 052,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0364100001819000127;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка, заявка соответствует требованиям. Конкурс в электронной форме признан несостоявшимся (ч. 16 ст. 54.4 Закона № 44-ФЗ);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРПРОЕКТ""";;2 045 052,00;;;;;;
№ 0855200000519004350;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0855200000519004350;Определение поставщика завершено;"Выполнение работ по содержанию автомобильнойдорогиобщего пользования регионального значения ""Обход г. Никольск"" и сооружений на ней в Никольском районеПензенскойобласти, протяженностью 9,03 км в 2020 г.";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕПЕНЗЕНСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ ПО ОСУЩЕСТВЛЕНИЮ ЗАКУПОКПЕНЗЕНСКОЙОБЛАСТИ""";28.12.2019;1 837 844,77 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0855200000519004350;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА И ДОРОЖНОГО ХОЗЯЙСТВА ПЕНЗЕНСКОЙ ОБЛАСТИ""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИРАЖ""";;1 837 844,77;;;;;;
№ 0855200000519004340;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0855200000519004340;Определение поставщика завершено;"Проектирование объекта капитального строительства ""Переустройство автопавильонов, остановочных и посадочных площадок на км 8+530 (лево, право) автомобильнойдороги""М5 ""Урал"" -  г. Городище - с. Архангельское"" Городищенского районаПензенскойобласти""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕПЕНЗЕНСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ ПО ОСУЩЕСТВЛЕНИЮ ЗАКУПОКПЕНЗЕНСКОЙОБЛАСТИ""";28.12.2019;299 800,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0855200000519004340;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА И ДОРОЖНОГО ХОЗЯЙСТВА ПЕНЗЕНСКОЙ ОБЛАСТИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНАЯ КОМПАНИЯ РЕГИОН""";1 - Победитель;295 303,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСТЫ И ТОННЕЛИ""";2 - Второй номер;296 802,00;;;;;;
№ 0155200000319000067;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0155200000319000067;Определение поставщика завершено;Зимнее содержание автомобильныхдорогобщего пользования местного значения рабочего поселка Тамала Тамалинского районаПензенскойобласти на 1 квартал и 4 квартал  2020 года;ИСПОЛНИТЕЛЬНЫЙ ОРГАН МЕСТНОГО САМОУПРАВЛЕНИЯ - АДМИНИСТРАЦИЯ ТАМАЛИНСКОГО РАЙОНА;28.12.2019;1 200 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0155200000319000067;АДМИНИСТРАЦИЯ РАБОЧЕГО ПОСЕЛКА ТАМАЛА ТАМАЛИНСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСЕРВИС""";;1 200 000,00;;;;;;
№ 0155300032419000037;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0155300032419000037;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения вне границ населенных пунктов в границах Лопатинского районаПензенскойобласти в 2020 году;АДМИНИСТРАЦИЯ  ЛОПАТИНСКОГО РАЙОНАПЕНЗЕНСКОЙОБЛАСТИ;27.12.2019;1 076 740,97 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0155300032419000037;АДМИНИСТРАЦИЯ ЛОПАТИНСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПУЛЬС""";;1 076 740,97;;;;;;
